candidate_id,rank,score,reasoning
CAND_0063622,1,88.06,"Exceptional Senior AI Engineer with 5.2 years of experience, including building search and ML systems at Niramai. Strong in NLP & Machine Learning, based in Hyderabad, Telangana, and highly responsive (92% response rate)."
CAND_0053605,2,87.34,"Exceptional Senior AI Engineer with 6.9 years of experience, including building search and ML systems at Verloop.io. Strong in LangChain & Semantic Search, based in Noida, Uttar Pradesh, and highly responsive (88% response rate)."
CAND_0068932,3,86.66,Outstanding match with 5.2 years of applied ML experience; previously shipped core retrieval pipelines at Krutrim. Relocation-ready and brings deep knowledge of Milvus & Prompt Engineering.
CAND_0048558,4,86.4,Strong founding-engineer material with 6.7 years of experience; shipped ranking and NLP models at Rephrase.ai. Showcases high active engagement and solid Information Retrieval & OpenSearch expertise.
CAND_0064326,5,86.357,Impressive candidate with 7.6 years of experience deploying production search systems at Sarvam AI. Possesses strong expertise in scikit-learn & PyTorch and a notice period of only 45 days.
CAND_0046525,6,85.497,Strong founding-engineer material with 6.1 years of experience; shipped ranking and NLP models at Genpact AI. Showcases high active engagement and solid Elasticsearch & LangChain expertise.
CAND_0064888,7,85.415,Strong founding-engineer material with 5.8 years of experience; shipped ranking and NLP models at Verloop.io. Showcases high active engagement and solid Embeddings & TensorFlow expertise.
CAND_0072688,8,85.321,"Exceptional Senior AI Engineer with 6.9 years of experience, including building search and ML systems at Niramai. Strong in Milvus & LoRA, based in Pune, Maharashtra, and highly responsive (87% response rate)."
CAND_0073314,9,84.988,Strong founding-engineer material with 5.2 years of experience; shipped ranking and NLP models at Aganitha. Showcases high active engagement and solid Prompt Engineering & Milvus expertise.
CAND_0004402,10,84.812,Strong founding-engineer material with 6.0 years of experience; shipped ranking and NLP models at Yellow.ai. Showcases high active engagement and solid OpenSearch & PyTorch expertise.
CAND_0066690,11,84.444,"Exceptional Senior AI Engineer with 4.8 years of experience, including building search and ML systems at Freshworks. Strong in Hugging Face Transformers & Sentence Transformers, based in Gurgaon, Haryana, and highly responsive (88% response rate)."
